2025-02-06 13:57:57,687 | numexpr.utils | INFO | utils.py:160 | NumExpr defaulting to 8 threads.
2025-02-06 13:57:58,709 | __main__ | INFO | get_symbols.py:14 | Initialising Exchange dataclass
2025-02-06 13:57:58,710 | __main__ | INFO | get_symbols.py:38 | Getting symbols
2025-02-06 13:57:58,711 | __main__ | DEBUG | get_symbols.py:39 | Specifying filepath directory/filename
2025-02-06 13:57:58,711 | __main__ | INFO | get_symbols.py:51 | Fetching stock symbols from https://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average
2025-02-06 13:57:59,566 | __main__ | INFO | get_symbols.py:66 | Saving table to csv: /Users/wakaba/Dropbox/CODE/python/quant/short-term-contrarian/data/raw/symbols_djia.csv
2025-02-06 13:57:59,570 | __main__ | DEBUG | get_symbols.py:70 | Converting tickers' formats into the yf style
2025-02-06 13:57:59,577 | __main__ | DEBUG | get_symbols.py:77 | Validating tickers with yf
2025-02-06 13:57:59,577 | __main__ | INFO | get_symbols.py:85 | Checking if ticker symbol is recognised by yf
2025-02-06 13:57:59,577 | yfinance | DEBUG | data.py:397 | get_raw_json(): https://query2.finance.yahoo.com/v10/finance/quoteSummary/MMM
2025-02-06 13:57:59,577 | yfinance | DEBUG | utils.py:101 | Entering get()
2025-02-06 13:57:59,577 | yfinance | DEBUG | data.py:338 | url=https://query2.finance.yahoo.com/v10/finance/quoteSummary/MMM
2025-02-06 13:57:59,577 | yfinance | DEBUG | data.py:339 | params={'modules': 'financialData,quoteType,defaultKeyStatistics,assetProfile,summaryDetail', 'corsDomain': 'finance.yahoo.com', 'formatted': 'false', 'symbol': 'MMM'}
2025-02-06 13:57:59,577 | yfinance | DEBUG | utils.py:101 |  Entering _get_cookie_and_crumb()
2025-02-06 13:57:59,578 | yfinance | DEBUG | data.py:312 | cookie_mode = 'basic'
2025-02-06 13:57:59,578 | yfinance | DEBUG | utils.py:101 |   Entering _get_cookie_and_crumb_basic()
2025-02-06 13:57:59,596 | peewee | DEBUG | peewee.py:3308 | ('CREATE TABLE IF NOT EXISTS "_cookieschema" ("strategy" VARCHAR(255) NOT NULL PRIMARY KEY, "fetch_date" DATETIME NOT NULL, "cookie_bytes" BLOB NOT NULL) WITHOUT ROWID', [])
2025-02-06 13:57:59,596 | peewee | DEBUG | peewee.py:3308 | ('SELECT "t1"."strategy", "t1"."fetch_date", "t1"."cookie_bytes" FROM "_cookieschema" AS "t1" WHERE ("t1"."strategy" = ?) LIMIT ? OFFSET ?', ['basic', 1, 0])
2025-02-06 13:57:59,599 | yfinance | DEBUG | data.py:147 | loaded persistent cookie
2025-02-06 13:57:59,599 | yfinance | DEBUG | data.py:152 | reusing cookie
2025-02-06 13:57:59,605 | urllib3.connectionpool | DEBUG | connectionpool.py:1003 | Starting new HTTPS connection (1): query1.finance.yahoo.com:443
2025-02-06 13:57:59,850 | urllib3.connectionpool | DEBUG | connectionpool.py:456 | https://query1.finance.yahoo.com:443 "GET /v1/test/getcrumb HTTP/1.1" 200 11
2025-02-06 13:57:59,852 | yfinance | DEBUG | data.py:207 | crumb = 'oMWJOxBjvY4'
2025-02-06 13:57:59,852 | yfinance | DEBUG | utils.py:106 |   Exiting _get_cookie_and_crumb_basic()
2025-02-06 13:57:59,853 | yfinance | DEBUG | utils.py:106 |  Exiting _get_cookie_and_crumb()
2025-02-06 13:57:59,856 | urllib3.connectionpool | DEBUG | connectionpool.py:1003 | Starting new HTTPS connection (1): query2.finance.yahoo.com:443
2025-02-06 13:58:00,082 | urllib3.connectionpool | DEBUG | connectionpool.py:456 | https://query2.finance.yahoo.com:443 "GET /v10/finance/quoteSummary/MMM?modules=financialData%2CquoteType%2CdefaultKeyStatistics%2CassetProfile%2CsummaryDetail&corsDomain=finance.yahoo.com&formatted=false&symbol=MMM&crumb=oMWJOxBjvY4 HTTP/1.1" 200 3109
2025-02-06 13:58:00,086 | yfinance | DEBUG | data.py:367 | response code=200
2025-02-06 13:58:00,086 | yfinance | DEBUG | utils.py:106 | Exiting get()
2025-02-06 13:58:00,093 | yfinance | DEBUG | utils.py:101 | Entering get()
2025-02-06 13:58:00,093 | yfinance | DEBUG | data.py:338 | url=https://query1.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/MMM?symbol=MMM&type=trailingPegRatio&period1=1723075200&period2=1738886400
2025-02-06 13:58:00,093 | yfinance | DEBUG | data.py:339 | params=None
2025-02-06 13:58:00,094 | yfinance | DEBUG | utils.py:101 |  Entering _get_cookie_and_crumb()
2025-02-06 13:58:00,094 | yfinance | DEBUG | data.py:312 | cookie_mode = 'basic'
2025-02-06 13:58:00,094 | yfinance | DEBUG | utils.py:101 |   Entering _get_cookie_and_crumb_basic()
2025-02-06 13:58:00,094 | yfinance | DEBUG | data.py:152 | reusing cookie
2025-02-06 13:58:00,094 | yfinance | DEBUG | data.py:181 | reusing crumb
2025-02-06 13:58:00,095 | yfinance | DEBUG | utils.py:106 |   Exiting _get_cookie_and_crumb_basic()
2025-02-06 13:58:00,095 | yfinance | DEBUG | utils.py:106 |  Exiting _get_cookie_and_crumb()
2025-02-06 13:58:00,198 | urllib3.connectionpool | DEBUG | connectionpool.py:456 | https://query1.finance.yahoo.com:443 "GET /ws/fundamentals-timeseries/v1/finance/timeseries/MMM?symbol=MMM&type=trailingPegRatio&period1=1723075200&period2=1738886400&crumb=oMWJOxBjvY4 HTTP/1.1" 200 246
2025-02-06 13:58:00,199 | yfinance | DEBUG | data.py:367 | response code=200
2025-02-06 13:58:00,199 | yfinance | DEBUG | utils.py:106 | Exiting get()
2025-02-06 13:58:00,199 | __main__ | INFO | get_symbols.py:85 | Checking if ticker symbol is recognised by yf
2025-02-06 13:58:00,200 | yfinance | DEBUG | data.py:397 | get_raw_json(): https://query2.finance.yahoo.com/v10/finance/quoteSummary/AXP
2025-02-06 13:58:00,200 | yfinance | DEBUG | utils.py:101 | Entering get()
2025-02-06 13:58:00,200 | yfinance | DEBUG | data.py:338 | url=https://query2.finance.yahoo.com/v10/finance/quoteSummary/AXP
2025-02-06 13:58:00,200 | yfinance | DEBUG | data.py:339 | params={'modules': 'financialData,quoteType,defaultKeyStatistics,assetProfile,summaryDetail', 'corsDomain': 'finance.yahoo.com', 'formatted': 'false', 'symbol': 'AXP'}
2025-02-06 13:58:00,200 | yfinance | DEBUG | utils.py:101 |  Entering _get_cookie_and_crumb()
